,Unnamed: 0,LIBELLE_ARRET,pourc_validations,TRNC_HORR_60,NB_VALD,NB_VALD_HOUR
913,913,ARCUEIL-CACHAN,3.28,14H-15H,8561.91847826087,28083.092608695653
914,914,ARCUEIL-CACHAN,4.23,15H-16H,8561.91847826087,36216.915163043486
915,915,ARCUEIL-CACHAN,10.53,17H-18H,8561.91847826087,90157.00157608696
916,916,DENFERT-ROCHEREAU,1.12,0H-1H,17593.385869565216,19704.592173913043
917,917,DENFERT-ROCHEREAU,4.04,12H-13H,17593.385869565216,71077.27891304348
918,918,DENFERT-ROCHEREAU,4.25,14H-15H,17593.385869565216,74771.88994565216
919,919,DENFERT-ROCHEREAU,0.0,3H-4H,17593.385869565216,0.0
920,920,DRANCY,0.09,0H-1H,7047.91304347826,634.3121739130435
921,921,DRANCY,3.67,12H-13H,7047.91304347826,25865.840869565214
922,922,DRANCY,5.34,16H-17H,7047.91304347826,37635.85565217392
923,923,DRANCY,1.33,20H-21H,7047.91304347826,9373.724347826088
924,924,DRANCY,11.75,8H-9H,7047.91304347826,82812.97826086957
925,925,FONTAINE-MICHALON,2.97,11H-12H,1617.5489130434785,4804.120271739131
926,926,FONTAINE-MICHALON,1.1,20H-21H,1617.5489130434785,1779.303804347826
927,927,FONTAINE-MICHALON,0.51,23H-0H,1617.5489130434785,824.9499456521739
928,928,FONTAINE-MICHALON,0.31,4H-5H,1617.5489130434785,501.4401630434783
929,929,FONTAINE-MICHALON,20.85,7H-8H,1617.5489130434785,33725.894836956526
930,930,FONTENAY-AUX-ROSES,3.92,12H-13H,2661.1521739130435,10431.71652173913
931,931,FONTENAY-AUX-ROSES,3.67,13H-14H,2661.1521739130435,9766.42847826087
932,932,FONTENAY-AUX-ROSES,21.6,8H-9H,2661.1521739130435,57480.88695652175
933,933,GENTILLY,2.8,11H-12H,5464.619565217391,15300.934782608694
934,934,GENTILLY,0.04,1H-2H,5464.619565217391,218.58478260869563
935,935,GENTILLY,1.36,21H-22H,5464.619565217391,7431.8826086956515
936,936,GENTILLY,0.84,22H-23H,5464.619565217391,4590.2804347826095
937,937,GENTILLY,1.05,5H-6H,5464.619565217391,5737.85054347826
938,938,GIF-SUR-YVETTE,6.59,18H-19H,1359.266304347826,8957.564945652173
939,939,GIF-SUR-YVETTE,0.26,23H-0H,1359.266304347826,353.4092391304348
940,940,GIF-SUR-YVETTE,0.37,4H-5H,1359.266304347826,502.9285326086956
941,941,GIF-SUR-YVETTE,5.84,6H-7H,1359.266304347826,7938.115217391302
942,942,LA COURNEUVE-AUBERVILLIERS,3.49,11H-12H,11722.66847826087,40912.11298913044
943,943,LA COURNEUVE-AUBERVILLIERS,3.99,12H-13H,11722.66847826087,46773.44722826088
944,944,LA COURNEUVE-AUBERVILLIERS,3.89,14H-15H,11722.66847826087,45601.18038043479
945,945,LA COURNEUVE-AUBERVILLIERS,0.0,1H-2H,11722.66847826087,0.0
