,insee,TauxProprietaires,TauxChomage,NiveauVieMedian,densitehabkm2,dipl_su_tx,no2,o3,pm10,Tour1Candidat1,tp,medianendv,nb_redevables,patrimoineeuro,impotmoyeneuro,prixm2
1053,94067,46.7452785,9.576524337,32075.0,24768.888888900005,0.5939158735755867,31.395604395604394,28.11813186813187,32.79945054945055,FILLON François,9.0,32074.6666667,409.0,2414991.85085575,10187.0366748166,7228.0
1062,92024,29.22941951,14.4077961,18789.0,19304.5454545,0.43711546660841055,31.774725274725274,28.26098901098901,32.56043956043956,MACRON Emmanuel,24.0,18788.6666667,52.0,2064632.42307692,7864.80769230769,5426.0
1071,94002,30.08730357,15.49697641,19695.0,12073.1707317,0.3700611633041208,30.85164835164835,29.54945054945055,32.925824175824175,MÉLENCHON Jean-Luc,22.0,19694.5,,,,4362.0
1080,94022,41.4136494,15.44595007,19105.0,7644.17744917,0.33728604560206366,28.87087912087912,30.178571428571427,32.010989010989015,MÉLENCHON Jean-Luc,22.0,19105.2857143,,,,3362.0
1089,75120,27.55395388,14.99906472,21017.0,,0.5029340658513481,32.82142857142857,28.192307692307693,33.747252747252745,,22.0,21017.3333333,447.0,2050430.74496644,7419.08724832215,
1098,75119,28.31602761,16.68762109,19611.0,,0.4614879907166436,33.82692307692308,28.623626373626372,33.72802197802198,,24.0,19610.6666667,445.0,2162784.69438202,7989.63370786517,
1107,75118,33.52664532,13.34967349,21542.0,,0.5472661870914469,33.68131868131868,28.247252747252748,33.892857142857146,,22.0,21541.7391304,720.0,2396046.86666667,9882.29722222222,
1116,92073,37.96723472,10.12309319,28371.0,12335.7894737,0.5586338435526313,26.733516483516482,29.021978021978022,30.565934065934066,MACRON Emmanuel,10.0,28370.7407407,229.0,2024496.6419214,6801.5327510917,6020.0
1125,93013,40.60634621,18.900885600000002,16325.0,7342.15686275,0.23435269477812512,30.057692307692307,30.096153846153847,30.895604395604394,MÉLENCHON Jean-Luc,31.0,16324.666666699999,,,,3177.0
1134,93008,26.97534511,24.1931297,14452.0,7006.52818991,0.18201081827504115,31.804945054945055,30.01923076923077,31.846153846153847,MÉLENCHON Jean-Luc,36.0,14451.632653100001,,,,3066.0
1143,93029,45.39200177,20.03680836,16846.0,8553.91527599,0.18420535490658302,31.104395604395606,30.153846153846153,31.50824175824176,MÉLENCHON Jean-Luc,29.0,16846.0,,,,3204.0
1152,93074,59.59484346,13.08279175,22389.0,1800.27100271,0.2632854657590698,27.53021978021978,31.063186813186814,31.50824175824176,LE PEN Marine,12.0,22388.888888900005,,,,3132.0
1161,77514,56.68481549,12.25527394,20835.0,2954.81927711,0.26226635628246914,26.964285714285715,31.225274725274726,31.821428571428573,MÉLENCHON Jean-Luc,15.0,20835.3333333,,,,2968.0
1170,93053,35.9438605,19.27816473,16395.0,7982.53968254,0.26143285127358834,30.90934065934066,29.766483516483518,31.804945054945055,MÉLENCHON Jean-Luc,30.0,16394.5,,,,3313.0
