,date,ninsee,no2,o3,pm10
392475,28/10/2017,93078,26,25,29
392479,28/10/2017,94003,27,24,25
392492,28/10/2017,94037,27,24,27
392668,28/10/2017,95527,21,25,27
392720,29/10/2017,75103,20,23,22
392722,29/10/2017,75105,20,22,20
392727,29/10/2017,75110,24,23,22
392731,29/10/2017,75114,23,23,20
393477,29/10/2017,78575,13,25,17
393551,29/10/2017,91122,14,25,19
393593,29/10/2017,91272,15,25,17
393619,29/10/2017,91377,16,25,20
393643,29/10/2017,91471,15,25,19
393645,29/10/2017,91477,16,25,19
393710,29/10/2017,92002,17,25,20
393715,29/10/2017,92014,17,24,20
393747,29/10/2017,93005,18,24,20
393749,29/10/2017,93007,16,24,20
393752,29/10/2017,93013,14,24,22
393755,29/10/2017,93027,15,24,22
393756,29/10/2017,93029,16,24,22
393777,29/10/2017,93066,21,24,22
393784,29/10/2017,93078,19,24,20
393788,29/10/2017,94003,18,23,20
393801,29/10/2017,94037,18,23,20
393977,29/10/2017,95527,14,25,20
394029,30/10/2017,75103,40,23,29
394031,30/10/2017,75105,38,23,30
394036,30/10/2017,75110,41,23,30
394040,30/10/2017,75114,37,24,30
394786,30/10/2017,78575,26,26,32
394860,30/10/2017,91122,28,25,32
394902,30/10/2017,91272,29,26,32
394928,30/10/2017,91377,35,25,32
394952,30/10/2017,91471,30,25,32
394954,30/10/2017,91477,33,25,32
395019,30/10/2017,92002,36,25,30
395024,30/10/2017,92014,36,24,30
395056,30/10/2017,93005,38,26,32
395058,30/10/2017,93007,38,25,30
395061,30/10/2017,93013,37,24,30
395064,30/10/2017,93027,39,24,30
395065,30/10/2017,93029,39,25,29
395086,30/10/2017,93066,41,24,34
395093,30/10/2017,93078,36,26,34
395097,30/10/2017,94003,37,24,30
395110,30/10/2017,94037,37,24,30
395286,30/10/2017,95527,31,27,32
395338,31/10/2017,75103,45,11,57
395340,31/10/2017,75105,44,10,55
395345,31/10/2017,75110,47,10,59
395349,31/10/2017,75114,44,9,54
396095,31/10/2017,78575,29,21,44
396169,31/10/2017,91122,32,20,45
396211,31/10/2017,91272,32,20,45
396237,31/10/2017,91377,39,16,49
396261,31/10/2017,91471,34,18,47
396263,31/10/2017,91477,37,17,49
396328,31/10/2017,92002,40,15,50
396333,31/10/2017,92014,41,11,52
396365,31/10/2017,93005,42,18,67
396367,31/10/2017,93007,44,15,67
396370,31/10/2017,93013,47,13,65
396373,31/10/2017,93027,49,12,68
396374,31/10/2017,93029,47,14,64
396395,31/10/2017,93066,52,10,69
396402,31/10/2017,93078,37,19,68
396406,31/10/2017,94003,41,10,53
396419,31/10/2017,94037,41,9,54
396595,31/10/2017,95527,35,21,67
396647,01/11/2017,75103,36,12,49
396649,01/11/2017,75105,35,13,49
396654,01/11/2017,75110,37,13,49
396658,01/11/2017,75114,34,13,47
397404,01/11/2017,78575,22,18,34
397478,01/11/2017,91122,24,16,37
397520,01/11/2017,91272,24,17,35
397546,01/11/2017,91377,29,16,42
397570,01/11/2017,91471,26,16,37
397572,01/11/2017,91477,28,16,40
397637,01/11/2017,92002,31,16,44
397642,01/11/2017,92014,31,16,44
397674,01/11/2017,93005,33,20,53
397676,01/11/2017,93007,34,19,52
397679,01/11/2017,93013,35,17,52
397682,01/11/2017,93027,37,16,53
397683,01/11/2017,93029,35,18,50
397704,01/11/2017,93066,39,15,54
397711,01/11/2017,93078,30,22,54
397715,01/11/2017,94003,32,15,45
397728,01/11/2017,94037,32,15,47
397904,01/11/2017,95527,31,22,54
397956,02/11/2017,75103,45,16,55
397958,02/11/2017,75105,45,16,54
397963,02/11/2017,75110,47,17,55
397967,02/11/2017,75114,45,16,53
398713,02/11/2017,78575,27,23,39
398787,02/11/2017,91122,29,19,40
398829,02/11/2017,91272,29,21,39
398855,02/11/2017,91377,34,17,45
398879,02/11/2017,91471,31,18,40
398881,02/11/2017,91477,33,18,42
398946,02/11/2017,92002,36,16,49
398951,02/11/2017,92014,37,15,50
398983,02/11/2017,93005,37,20,63
398985,02/11/2017,93007,40,19,62
398988,02/11/2017,93013,43,19,60
398991,02/11/2017,93027,47,19,59
398992,02/11/2017,93029,44,18,62
399013,02/11/2017,93066,51,20,58
399020,02/11/2017,93078,33,20,63
399024,02/11/2017,94003,39,15,52
399037,02/11/2017,94037,40,15,54
399213,02/11/2017,95527,32,22,60
399265,03/11/2017,75103,35,16,62
399267,03/11/2017,75105,32,15,60
399272,03/11/2017,75110,40,16,62
399276,03/11/2017,75114,30,15,57
400022,03/11/2017,78575,25,24,34
400096,03/11/2017,91122,25,22,35
400138,03/11/2017,91272,26,23,35
400164,03/11/2017,91377,28,19,42
400188,03/11/2017,91471,27,21,37
400190,03/11/2017,91477,28,20,40
400255,03/11/2017,92002,28,18,47
400260,03/11/2017,92014,28,17,49
400292,03/11/2017,93005,36,22,60
400294,03/11/2017,93007,37,20,60
400297,03/11/2017,93013,40,18,60
400300,03/11/2017,93027,43,18,62
400301,03/11/2017,93029,40,20,59
400322,03/11/2017,93066,45,17,63
400329,03/11/2017,93078,34,23,59
400333,03/11/2017,94003,29,16,53
400346,03/11/2017,94037,30,16,54
400522,03/11/2017,95527,34,24,59
400574,04/11/2017,75103,25,20,27
400576,04/11/2017,75105,25,20,27
